Country.Name	INDICATOR	2016	2017	2018	2019.S20	2020.S20	2021.S20	2019.A19	2020.A19	2021.A19
Belgium	GDPpc	1.0	1.6	1.0	0.9	-7.6	6.2	0.7	0.5	0.5
Germany	GDPpc	1.4	2.1	1.2	0.3	-6.7	5.7	0.2	0.8	0.8
Estonia	GDPpc	2.4	5.8	4.5	3.9	-7.2	5.6	2.9	1.9	2.2
Ireland	GDPpc	2.5	6.9	6.9	4.1	-8.5	5.3	4.4	2.7	2.4
Greece	GDPpc	0.2	1.7	2.1	2.1	-9.2	8.5	2.3	2.9	2.5
Spain	GDPpc	2.9	2.7	1.9	1.2	-9.5	6.4	1.3	0.8	0.6
France	GDPpc	0.7	1.9	1.4	1.6	-8.5	7.1	1.1	1.0	1.0
Italy	GDPpc	1.5	1.8	0.9	0.4	-9.5	6.6	0.1	0.5	0.8
Cyprus	GDPpc	6.3	3.4	2.8	2.0	-8.4	4.9	2.1	1.8	1.4
Latvia	GDPpc	2.7	4.8	5.1	2.9	-6.8	7.1	3.3	3.3	3.4
Lithuania	GDPpc	3.9	5.7	4.6	4.2	-7.8	7.9	4.5	3.1	3.1
Luxembourg	GDPpc	1.9	-0.4	1.1	0.2	-7.0	3.7	0.4	0.5	0.7
Malta	GDPpc	3.4	3.6	3.6	1.1	-8.6	2.9	2.4	2.1	2.2
Netherlands	GDPpc	1.7	2.3	2.0	1.1	-7.6	4.2	1.1	0.8	0.8
Austria	GDPpc	0.8	1.8	1.9	1.2	-6.0	4.5	1.1	0.9	0.9
Portugal	GDPpc	2.3	3.8	2.8	2.2	-6.7	5.8	2.0	1.7	1.7
Slovenia	GDPpc	3.1	4.8	3.8	1.6	-7.3	6.5	1.9	2.4	2.5
Slovakia	GDPpc	2.0	2.9	3.9	2.1	-6.8	6.5	2.5	2.5	2.6
Finland	GDPpc	2.4	2.9	1.5	0.9	-6.5	3.6	1.2	1.0	0.9
Bulgaria	GDPpc	4.5	4.3	3.8	3.9	-6.5	6.8	4.3	3.8	3.7
Czechia	GDPpc	2.2	4.1	2.5	2.2	-6.5	4.7	2.1	1.8	1.9
Denmark	GDPpc	2.4	1.4	1.9	1.9	-6.2	4.7	1.6	1.1	1.2
Croatia	GDPpc	4.4	4.2	3.7	3.5	-8.8	7.7	3.5	3.1	2.7
Hungary	GDPpc	2.5	4.6	5.2	5.0	-6.9	6.2	4.8	3.0	3.0
Poland	GDPpc	3.1	5.0	5.4	4.2	-4.2	4.2	4.1	3.4	3.4
Romania	GDPpc	5.4	7.7	5.1	4.4	-5.4	4.9	4.7	4.2	3.9
Sweden	GDPpc	1.1	1.0	1.0	0.2	-6.9	3.5	0.2	0.1	0.4
Belgium	EMP	1.3	1.6	1.4	1.5	-1.0	1.2	1.3	0.9	0.8
Germany	EMP	1.2	1.4	1.4	0.9	-0.9	0.6	0.8	0.1	0.2
Estonia	EMP	0.3	2.7	1.2	1.3	-5.7	3.7	0.7	0.0	-0.1
Ireland	EMP	3.7	3.0	3.2	2.9	-2.5	1.3	2.4	1.7	1.4
Greece	EMP	0.5	1.5	1.7	2.0	-3.7	3.8	2.2	2.2	1.4
Spain	EMP	2.8	2.8	2.5	2.3	-8.7	6.1	2.2	1.0	0.8
France	EMP	0.5	0.9	1.0	1.3	-9.1	10.0	1.1	0.7	0.5
Italy	EMP	1.4	0.8	0.8	0.3	-7.5	5.5	0.6	0.1	0.3
Cyprus	EMP	4.7	5.3	4.1	3.1	-2.5	2.3	2.5	2.2	1.8
Latvia	EMP	-0.3	0.0	1.6	-0.1	-2.6	0.9	-0.4	0.0	0.2
Lithuania	EMP	2.3	-0.7	1.4	0.5	-3.5	2.0	0.2	0.1	0.0
Luxembourg	EMP	3.0	3.4	3.7	3.6	0.9	3.1	3.7	3.4	3.1
Malta	EMP	4.3	8.1	6.0	5.6	-1.8	2.8	4.0	3.0	2.5
Netherlands	EMP	2.1	2.2	2.6	1.8	-2.4	1.4	1.8	0.6	0.3
Austria	EMP	1.3	1.7	1.7	1.2	-1.4	1.4	1.1	0.7	0.6
Portugal	EMP	1.6	3.3	2.3	0.8	-3.4	2.7	1.0	0.5	0.5
Slovenia	EMP	1.8	3.0	3.2	2.4	-2.7	2.0	2.3	1.5	1.3
Slovakia	EMP	2.4	2.2	2.0	1.2	-3.4	2.0	0.8	0.2	0.2
Finland	EMP	0.5	1.0	2.5	1.0	-2.5	1.1	0.9	0.4	0.3
Bulgaria	EMP	0.5	1.8	-0.1	0.3	-2.5	0.5	0.6	0.0	-0.2
Czechia	EMP	1.6	1.6	1.3	0.7	-3.1	0.8	1.1	0.6	0.5
Denmark	EMP	1.7	1.6	1.4	1.2	-1.6	1.4	1.3	0.9	0.8
Croatia	EMP	0.3	2.2	1.8	1.4	-3.9	3.0	1.3	1.1	1.1
Hungary	EMP	3.7	1.9	2.4	1.7	-3.8	1.1	1.9	0.2	0.0
Poland	EMP	0.8	1.3	0.5	-0.2	-4.5	2.2	0.1	-0.1	-0.1
Romania	EMP	-1.1	2.4	0.2	-0.1	-2.5	0.6	0.2	0.1	0.1
Sweden	EMP	1.9	2.5	1.6	0.6	-2.5	1.1	0.3	0.0	0.5
Belgium	EmpC	0.6	1.8	1.9	1.7	-1.4	1.2	1.7	1.8	2.1
Germany	EmpC	2.3	2.6	2.9	3.2	-0.6	3.2	3.3	2.5	2.5
Estonia	EmpC	5.7	7.0	10.2	7.8	2.0	2.7	7.3	5.8	5.8
Ireland	EmpC	2.2	2.5	2.1	4.0	-2.3	1.7	3.5	3.7	3.8
