CODE	Section	level	info	§
1	POPULATION AND EMPLOYMENT	1	N	1
1	POPULATION	2	N	1
NPTD	Total (national accounts)	3	E	1
NPTN	Total (demographic statistics)	3	E	1
NPCN	0 to 14 years	3	E	1
NPAN	15 to 64 years	3	E	1
NPON	65 years and over	3	E	1
2	LABOUR FORCE STATISTICS	2	N	1
NLTN	Total labour force	3	E	1
NLCN	Civilian labour force	3	E	1
NECN	Civilian employment, national	3	E	1
NECD	Civilian employment, domestic	3	E	1
3	UNEMPLOYMENT	2	N	1
NUTN	Total	3	E	1
ZUTN	Percentage of active population	3	E	1
4	EMPLOYMENT, PERSONS (NATIONAL ACCOUNTS)	2	N	1
NETN	Total economy, national	3	E	1
NETD	Total economy, domestic	3	E	1
5	EMPLOYMENT, FULL-TIME EQUIVALENTS (NATIONAL ACCOUNTS)	2	N	1
FETD	Total economy	3	E	1
6	SELF-EMPLOYED, PERSONS (NATIONAL ACCOUNTS)	2	N	1
NSTD	Total economy	3	E	1
7	WAGE AND SALARY EARNERS, PERSONS (NATIONAL ACCOUNTS)	2	N	1
NWTN	Total economy, national	3	E	1
NWTD	Total economy, domestic	3	E	1
8	WAGE AND SALARY EARNERS, FULL-TIME EQUIVALENTS (NATIONAL ACCOUNTS)	2	N	1
FWTD	Total economy	3	E	1
2	CONSUMPTION	1	N	2
1	PRIVATE FINAL CONSUMPTION EXPENDITURE	2	N	2
UCPH	At current prices	3	E	2
OCPH	At constant prices	3	E	2
PCPH	Price deflator	3	E	2
2	PRIVATE FINAL CONSUMPTION EXPENDITURE PER HEAD OF POPULATION	2	N	2
HCPHP	At current prices	3	E	2
HCPHPR	At current prices relative to a country or aggregate	3	E	2
3	ACTUAL INDIVIDUAL FINAL CONSUMPTION OF HOUSEHOLDS	2	N	2
UCTH	At current prices	3	E	2
OCTH	At constant prices	3	E	2
PCTH	Price deflator	3	E	2
4	CONSUMER PRICE INDEX	2	N	2
ZCPIH	Harmonised (2005 = 100)	3	E	2
ZCPIN	National	3	E	2
5	TOTAL FINAL CONSUMPTION EXPENDITURE OF GENERAL GOVERNMENT	2	N	2
UCTG	At current prices	3	E	2
OCTG	At constant prices	3	E	2
PCTG	Price deflator	3	E	2
6	COLLECTIVE CONSUMPTION EXPENDITURE OF GENERAL GOVERNMENT	2	N	2
UCCG	At current prices	3	E	2
OCCG	At constant prices	3	E	2
PCCG	Price deflator	3	E	2
7	INDIVIDUAL CONSUMPTION EXPENDITURE OF GENERAL GOVERNMENT	2	N	2
UCIG	At current prices	3	E	2
OCIG	At constant prices	3	E	2
PCIG	Price deflator	3	E	2
8	TOTAL CONSUMPTION	2	N	2
UCNT	At current prices	3	E	2
OCNT	At constant prices	3	E	2
PCNT	Price deflator	3	E	2
3	CAPITAL FORMATION AND SAVING, TOTAL ECONOMY AND SECTORS	1	N	3
1	GROSS FIXED CAPITAL FORMATION, TOTAL ECONOMY	2	N	3
UIGT	At current prices	3	E	3
OIGT	At constant prices	3	E	3
PIGT	Price deflator	3	E	3
2	GROSS FIXED CAPITAL FORMATION AT CURRENT PRICES, SECTORS	2	N	3
UIGG	General government	3	E	3
UIGP	Private sector	3	E	3
3	NET FIXED CAPITAL FORMATION, TOTAL ECONOMY	2	N	3
UINT	At current prices	3	E	3
OINT	At constant prices	3	E	3
4	NET FIXED CAPITAL FORMATION AT CURRENT PRICES, SECTORS	2	N	3
UING	General government	3	E	3
UINP	Private sector	3	E	3
5	CONSUMPTION OF FIXED CAPITAL, TOTAL ECONOMY	2	N	3
UKCT	At current prices	3	E	3
OKCT	At constant prices	3	E	3
6	CONSUMPTION OF FIXED CAPITAL, GENERAL GOVERNMENT	2	N	3
UKCG	At current prices	3	E	3
7	GROSS FIXED CAPITAL FORMATION BY TYPE OF GOODS AT CURRENT PRICES	2	N	3
UIGCO	Construction	3	E	3
UIGDW	Dwellings	3	E	3
UIGNR	Non-residential construction and civil engineering	3	E	3
UIGEQ	Equipment	3	E	3
UIGMA	Metal products and machinery	3	E	3
UIGTR	Transport equipment	3	E	3
UIGOT	Other investment	3	E	3
8	GROSS FIXED CAPITAL FORMATION BY TYPE OF GOODS AT CONSTANT PRICES	2	N	3
OIGCO	Construction	3	E	3
OIGDW	Dwellings	3	E	3
OIGNR	Non-residential construction and civil engineering	3	E	3
OIGEQ	Equipment	3	E	3
OIGMA	Metal products and machinery	3	E	3
OIGTR	Transport equipment	3	E	3
OIGOT	Other investment	3	E	3
9	GROSS FIXED CAPITAL FORMATION BY TYPE OF GOODS, PRICE DEFLATORS	2	N	3
PIGCO	Construction	3	E	3
PIGDW	Dwellings	3	E	3
PIGNR	Non-residential construction and civil engineering	3	E	3
PIGEQ	Equipment	3	E	3
PIGMA	Metal products and machinery	3	E	3
PIGTR	Transport equipment	3	E	3
PIGOT	Other investment	3	E	3
10	CHANGE IN INVENTORIES AND NET ACQUISITION OF VALUABLES	2	N	3
UIST	At current prices	3	E	3
OIST	At constant prices	3	E	3
11	GROSS CAPITAL FORMATION	2	N	3
UITT	At current prices	3	E	3
OITT	At constant prices	3	E	3
12	GROSS SAVING	2	N	3
USGN	National	3	E	3
USGG	General government (EU Member States: ESA 2010)	3	E	3
USGP	Private (EU Member States: ESA 2010)	3	E	3
13	NET SAVING	2	N	3
USNN	National	3	E	3
USNG	General government (EU Member States: ESA 2010)	3	E	3
USNP	Private (EU Member States: ESA 2010)	3	E	3
4	DOMESTIC AND FINAL DEMAND	1	N	4
1	DOMESTIC DEMAND EXCLUDING CHANGE IN INVENTORIES	2	N	4
